favorite_count,media/0/type,reply_count,retweet_count,view_count
340954,photo,12742,10404,
181483,photo,13662,16625,
44643,video,2704,4564,
17335,,819,1769,
115894,video,9381,9223,6653317
317695,,23398,26691,
509679,,44643,29781,
116350,,5073,6268,
353200,photo,25200,28619,
93922,video,2869,9597,
214828,,16532,17807,
478003,,29711,30790,
321191,,17097,29862,
106797,photo,7178,9070,
99679,,3295,9269,
132518,,6690,8809,
282403,,12870,19589,
15341,,0,2305,
173998,,38914,57724,
566227,,17737,35741,
180014,,6363,11304,
518227,photo,15437,43735,
628833,,36711,64698,
398606,,25998,87769,
267765,,33429,26141,
231942,,6254,14554,
707220,,55112,103188,
105854,,21817,7619,
36123,,2021,2057,
68794,,11925,8726,
234251,,9021,18764,
84748,,3669,7028,
123688,photo,10640,13029,
496892,,31618,40700,
20755,,1211,2347,
189307,,19753,13690,
97043,video,5626,9759,
99804,,6890,8087,
51923,,3234,4031,
703316,,12952,80409,
58211,,5317,6108,
595606,,126846,47043,
80738,,4743,5849,
154330,,9268,13384,
