favorite_count,media/0/type,reply_count,retweet_count,view_count
150190,photo,313,8065,6083783
12168,,371,416,682739
227189,photo,690,11363,12792165
2098,photo,29,20,415925
9021,photo,82,119,605947
24971,photo,78,1208,1208065
24988,,244,1417,1146067
51547,photo,492,2455,7381609
91711,photo,1105,3097,5053380
31512,photo,138,3300,1180439
147688,photo,810,3030,7092754
26900,,313,1032,2362896
68071,photo,238,3964,2627589
51257,photo,241,2431,1794192
28983,,217,725,1358701
104807,photo,193,4495,4754319
505937,,865,29352,28040561
23124,photo,65,1091,979246
79837,photo,610,3435,5060457
54227,photo,55,755,2247108
42144,,331,2282,2696753
35750,,204,1433,2160550
752401,,3784,72186,58247718
37822,photo,94,1949,1465296
4684,video,17,170,216181
31539,,64,719,2857032
63434,photo,574,1768,6104435
3722,photo,21,50,236414
62499,photo,127,1790,3729647
48403,,167,3846,4741710
26895,,220,711,1592122
163469,photo,742,6610,6932066
73029,photo,499,2410,3730248
106546,,1461,7801,11608134
16958,photo,111,660,776871
83253,,201,3741,5856540
5368,,27,28,237748
5732,,421,161,1065960
58290,photo,92,1308,1983914
39581,,90,1254,2340291
139877,photo,437,6037,9874346
55495,,366,1708,5422530
108527,photo,272,5911,5973686
35342,,277,1221,1992724
24339,,218,1045,1573178
22237,photo,620,619,2040445
82875,,465,2959,8224191
28371,,1182,386,4131195
78927,,311,4461,3537687
17330,photo,96,1440,826128
235231,photo,229,8657,6248421
10648,photo,19,368,313732
91196,,226,3871,4897571
74129,,141,3784,3917370
12733,photo,129,525,778340
76708,photo,122,4713,3471244
9379,,8,101,319051
7460,,251,285,919297
181465,,311,10110,9281732
131375,,335,11478,6995266
85223,photo,190,1772,3070958
15774,,466,563,861721
8046,,344,379,579997
88992,,937,6884,8903395
54343,photo,554,1580,4108252
126785,,274,5231,6602755
17832,,463,1369,902011
103940,,246,6867,10709930
22377,,45,385,775463
12912,,232,511,2269605
566430,,568,47854,20819586
88590,photo,292,4866,3362389
15537,photo,284,279,1465726
48488,,941,3510,3518951
8947,photo,24,180,450176
58404,,365,2246,8600435
18760,photo,66,1022,668628
231072,,266,18748,9260932
61675,photo,551,3292,4565236
15544,photo,15,248,1071489
96302,photo,460,3530,11981618
72818,,133,5451,4029436
3846,,29,10,242971
27586,photo,541,506,1615631
36272,,221,611,4616843
161066,photo,1277,6631,11800927
51069,photo,187,1032,3458013
7397,photo,16,140,375511
88687,,287,4821,5565244
191898,,519,12288,9637874
14764,,126,358,925997
13754,,18,206,508482
97437,photo,349,4867,6515043
94889,,432,9492,6184757
117612,,860,5314,13522771
44067,photo,224,1637,2392234
36859,,123,2714,2297228
29153,,94,839,2023454
4888,,60,292,348187
8989,,26,224,288654
76883,photo,463,4635,2642223
29374,,97,1048,2224873
45132,video,232,2417,4417075
46473,video,404,3221,3727647
74821,,208,3304,3189908
10647,photo,41,221,894704
51956,,540,3050,3893459
146881,photo,1416,8118,23055772
2793,photo,11,42,210964
15412,,196,659,766050
