favorite_count,media/0/type,reply_count,retweet_count,view_count
214,photo,1,8,
284,,0,0,
2561,photo,17,28,
1464,photo,3,21,
1986,photo,9,123,
79,animated_gif,1,2,
123,photo,0,0,
638,,6,18,
5027,photo,11,112,
323,,1,8,
2023,photo,24,13,
998,,13,5,
138,,0,0,
798,,8,15,
197,photo,1,1,
25,video,0,0,914
44,,0,0,
44,,0,0,
253,video,6,8,4542
1026,video,10,22,8510
68100,video,197,8566,
298,photo,5,0,
129,,0,0,
246,,3,1,
97,,0,0,
108,,0,0,
1283,photo,5,32,
162,,0,0,
2747,photo,14,98,
357,photo,4,6,
53,animated_gif,3,1,
141,,1,0,
862,,12,6,
86,animated_gif,1,0,
298,,3,3,
882,,6,39,
299,video,7,9,4669
1967,photo,9,69,
51,animated_gif,0,0,
710,photo,3,11,
163,,5,1,
509,video,2,17,8690
2079,photo,69,64,
107,photo,1,8,
126,,1,5,
1077,photo,25,54,
222,,7,0,
721,video,11,34,6870
258,,0,0,
2591,,12,122,
37,,0,0,
38,,1,1,
133,,6,3,
85,,5,0,
1018,photo,20,7,
761,photo,7,24,
1255,photo,13,16,
838,,16,0,
463,,4,1,
397,,4,28,
341,,2,3,
2896,,8,95,
457,,8,30,
839,,6,57,
194,animated_gif,2,0,
414,,5,2,
2449,photo,21,29,
7056,photo,57,128,
504,,17,4,
63,,0,1,
221,animated_gif,1,12,
23906,,174,3569,
1428,video,12,132,21484
301,,7,17,
4208,,11,208,
2093,,17,87,
89,animated_gif,1,1,
1588,,3,14,
782,photo,4,35,
1401,photo,8,131,
27651,photo,61,4205,
86,animated_gif,0,0,
589,photo,10,6,
677,photo,8,11,
1037,,2,14,
3080,,12,175,
212,photo,3,0,
285,,1,2,
1317,,7,74,
31973,photo,167,2914,
361,,3,36,
195,,7,0,
1086,,8,107,
315,,4,1,
4830,,11,161,
1286,photo,8,39,
518,video,5,38,7094
381,,3,0,
68,,7,0,
1265,,9,88,
157,photo,9,0,
402,,8,0,
262,,5,0,
3735,,16,108,
15357,photo,229,755,
1405,photo,10,21,
122,,0,0,
461,photo,5,12,
128,,3,0,
389,,17,2,
2977,photo,2,355,
2419,photo,28,41,
643,,6,13,
130,,0,1,
574,photo,13,6,
216,photo,2,0,
2101,,8,160,
871,,7,34,
994,photo,29,106,
336,photo,6,2,
1102,,8,70,
925,,9,20,
1139,,5,24,
1630,photo,15,33,
1321,photo,11,18,
328,photo,2,17,
690,photo,3,7,
391,,3,1,
2940,,35,84,
1293,photo,10,5,
1037,photo,2,15,
42,animated_gif,2,0,
1057,,18,70,
376,,8,4,
110,animated_gif,1,3,
866,,3,8,
422,photo,6,3,
968,,13,54,
163,,4,6,
317,,2,19,
513,,0,4,
2951,,18,147,
255,photo,10,0,
91,,4,0,
81,,1,0,
221,,10,2,
758,photo,17,0,
141,photo,1,0,
306,,4,4,
512,,100,4,
